PLAYER,TEAM,POS,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,AGE,HT,WT,SALARY
Al Jefferson, CHA,C,73,35,0.532,8.7,7,26.7,6.9,28.3,17.5,22.75,462.9,15.4,29,82,289,13500000
Andre Drummond, DET,C,81,32.3,0.599,3.3,10.4,15.6,17.5,27.7,22.3,22.65,470.9,15.7,21,82,270,2568360
Al Horford, ATL,C,29,33,0.588,12.7,10.7,22.7,8,21.4,14.8,22.08,164.2,5.5,28,82,250,12000000
Dwyane Wade, MIA,SG,54,32.9,0.588,19.6,12.5,26.1,4.4,12.4,8.5,22.06,306.3,10.2,32,76,220,15000000
LaMarcus Aldridge, POR,PF,69,36.2,0.507,9.5,6.5,27.9,7.2,25.6,16.5,21.84,385.7,12.9,29,83,240,16006000
Goran Dragic, PHX,SG,76,35.1,0.604,23.1,11,24.1,2.9,7.4,5.2,21.43,435.4,14.5,28,75,190,7500000
Tim Duncan, SA,PF,74,29.2,0.535,15.4,11.2,23.5,8.6,28.3,18.8,21.4,318.8,10.6,38,83,250,10361446
Dwight Howard, HOU,C,71,33.7,0.6,9.1,15.9,22,11.4,27.9,20.1,21.36,384.8,12.8,28,83,265,21436271
Nikola Pekovic, MIN,C,54,30.8,0.582,5.3,8.9,21.1,13.1,17.6,15.3,20.72,251.2,8.4,28,83,285,12100000
Isaiah Thomas, SAC,PG,72,34.7,0.574,23.4,11,26.1,2.1,7.5,4.7,20.54,355.6,11.9,25,69,185,7238606
Kyle Lowry, TOR,PG,79,36.2,0.567,28.9,9.6,23.4,3.6,11.5,7.5,20.2,392.9,13.1,28,73,205,12000000
Paul George, IND,SF,80,36.2,0.555,13.7,10.8,26.4,2.6,17.7,10.5,20.16,417.9,13.9,24,81,220,15937290
Kyrie Irving, CLE,PG,71,35.2,0.533,21.6,9.5,27.8,2.3,9.5,5.8,20.14,340.4,11.3,22,75,193,7070730
Mike Conley, MEM,PG,73,33.5,0.545,25.3,8.6,24.7,2,8.4,5.2,20.07,331,11,26,73,185,8694216
Manu Ginobili, SA,SG,68,22.8,0.59,25.7,12.2,24.2,2.3,12,7.3,20.06,221.2,7.4,37,78,205,7000000
Joakim Noah, CHI,C,80,35.3,0.531,27.4,12.3,18.9,11.6,24.5,18.2,20.06,398.3,13.3,29,83,232,12700000
Kenneth Faried, DEN,PF,80,27.2,0.573,8.1,11.4,19.7,11.8,22.2,16.9,19.9,273.1,9.1,24,80,228,2249768
Paul Millsap, ATL,PF,74,33.5,0.545,14.2,11.3,23.7,7.2,21.9,14.6,19.83,308.4,10.3,29,80,253,9500000
Serge Ibaka, OKC,PF,81,32.9,0.576,6.7,9.7,18,10,19.6,15,19.66,324.8,10.8,24,82,245,12350000
Eric Bledsoe, PHX,PG,43,32.9,0.578,22.6,13.8,24.4,2.1,13.8,8,19.62,182.2,6.1,24,73,195,0
John Wall, WSH,PG,82,36.3,0.524,28.5,11.7,27.7,1.5,11.7,6.5,19.61,383,12.8,23,76,195,14746000
Kawhi Leonard, SA,SF,66,29.1,0.602,14.6,8.8,17,4.6,18.9,12.1,19.43,256.3,8.5,23,79,230,2894059
Jordan Hill, LAL,PF,72,20.8,0.579,7.4,10.3,17.6,13.8,24.3,19,19.39,176.6,5.9,27,82,235,9000000
Pau Gasol, LAL,PF,60,31.4,0.522,15,10.5,24.4,7,25.9,16.4,19.34,245.8,8.2,34,85,250,7128000
David Lee, GS,PF,69,33.2,0.566,10.4,10.8,22.4,8.8,21.6,15.3,19.21,263.2,8.8,31,81,240,15012000
Terrence Jones, HOU,PF,76,27.3,0.577,9.1,7.4,16.8,9.2,18.5,14.1,19.14,236.9,7.9,22,81,252,1618680
Chris Bosh, MIA,C,79,32,0.597,6.8,9.7,20,5.1,20.3,13,19.11,321.5,10.7,30,83,235,20644400
